id,question,answer,key_time,true_on,gold_sources
I6O8F7G1,ऑस्कर आयझॅकचा सर्वात अलीकडील चित्रपट कोणता आहे?,फ्रँकेन्स्टाईन,01-11-2025,23-12-2025,https://en.wikipedia.org/wiki/Frankenstein_(2025_film)
F3N0M9O1,मॉरिशियन अलायन्समध्ये मिलिटंट प्लॅटफॉर्मचे किती खासदार आहेत?,1,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/Elections_in_Mauritius
S9B3K3J8,यू.एस. मिंटचे संचालक कोण आहेत?,क्रिस्टी मॅकनॅली,01-07-2025,23-12-2025,https://www.coinnews.net/2025/12/19/senate-confirms-paul-hollis-as-41st-u-s-mint-director/
S9J7Q3Q0,स्लोव्हेनियाच्या गृहमंत्र्यांनी आता राजीनामा दिला आहे का?,होय,01-10-2025,23-12-2025,
E3T8O8N3,वर्तमान FA कप चॅम्पियन कोण आहे?,क्रिस्टल पॅलेस एफसी,01-05-2025,23-12-2025,https://www.statista.com/statistics/383679/fa-cup-wins-by-team/
T4G8K7A2,सध्या अर्जेंटिनाचे गृहमंत्री कोण आहेत?,डिएगो सॅन्टिली,01-11-2025,23-12-2025,https://en.wikipedia.org/wiki/Ministry_of_the_Interior_(Argentina)
N1C7I3W2,BWF जपान ओपनमध्ये पुरूष एकेरीचा चॅम्पियन कोण आहे?,शि Y U Qi,01-07-2025,23-12-2025,https://www.chinadailyhk.com/hk/article/616294
S4F0E5Q1,सोमाली सरकारमध्ये अहमद मोअलिम फिकीची भूमिका काय आहे?,सोमालियाचे संरक्षण मंत्री | सोमालियाचे संरक्षण मंत्री,01-04-2025,23-12-2025,
E4U0E7W8,आचार्य देवव्रत कोणत्या पदावर आहेत?,महाराष्ट्राचे राज्यपाल,01-09-2025,23-12-2025,https://ddnews.gov.in/gujarat-governor-acharya-devvrat-given-additional-charge-of-maharashtra/
G8M9T0E0,बल्गेरियाने अलीकडे कोणते चलन स्वीकारले आहे?,युरो | EUR,01-12-2025,23-12-2025,
D0E3V0D7,अमरावती ही कोणत्या राज्याची राजधानी आहे?,आंध्र प्रदेश,01-03-2025,23-12-2025,
V6K7T1A9,कोलंबियामध्ये सध्या रोझा योलांडा विलाव्हिसेन्सिओची कोणती भूमिका आहे?,कार्यवाह परराष्ट्र मंत्री | परराष्ट्र व्यवहार मंत्री,01-07-2025,23-12-2025,https://www.infobae.com/colombia/2025/08/27/rosa-yolanda-villavicencio-asume-como-canciller-el-cuarto-relevo-en-el-gobierno-petro/
Q1M9T8O3,सध्या इक्वाडोरचे अंतरिम ऊर्जा आणि तेल मंत्री कोण आहेत?,इनेस मांझानो | इनेस मांझानो,01-03-2025,23-12-2025,https://www.usnews.com/news/world/articles/2025-02-13/ecuador-finance-minister-vega-resigns
Q0K4T1W0,साने तकाईची कोणते पद धारण करतात?,जपानचे पंतप्रधान | जपानचे पंतप्रधान,01-10-2025,23-12-2025,https://dainiksaveratimes.com/international/sanae-takaichi-first-women-japan-prime-minister/
M0I6N6Z8,महाराष्ट्राच्या राज्यपालाचे पद कोणते असते?,दशांश विजय,01-09-2025,23-12-2025,
Q5N7J8K8,सर्वात अलीकडील UN देशाने आपला ध्वज बदलला आहे?,मिनेसोटा,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/List_of_national_flags_of_sovereign_states|https://flaglog.com/2025
Q5Y8E3D8,मार्क डुंबा कोणत्या सरकारी कार्यालयात काम करत होते?,गॅबॉनचे अर्थशास्त्र आणि राज्य होल्डिंग मंत्री,01-07-2025,23-12-2025,https://www.weforum.org/stories/authors/mark-doumba/
X6Y4S8M9,कोलंबियातील कोणते मंत्रीपद सध्या रद्द करण्यात आले आहे?,समानता आणि समानता मंत्री | समानता आणि समानता मंत्री,01-03-2025,23-12-2025,
U1M7D4V2,चिलीमधील सार्वजनिक सुरक्षा कार्ये कोणते मंत्रालय नियंत्रित करते?,सार्वजनिक सुरक्षा मंत्रालय,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/Ministry_of_Public_Security_(Chile)
F1V8J7O8,क्रिस्टल पॅलेस एफसीचे काय शीर्षक आहे?,2024 FA कम्युनिटी शिल्ड विजेते,01-05-2025,23-12-2025,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
N7K4H2Z4,फ्रान्सचे पंतप्रधान कोण आहेत?,Sébastien Lecornu | युनिकॉर्न,01-09-2025,23-12-2025,https://en.wikipedia.org/wiki/Prime_Minister_of_France
N0N5F8K2,कॅमेरूनने या वर्षासाठी किती नागरी सेवा भरतीची योजना आखली होती?,"2860 | 2,860",01-03-2025,23-12-2025,
M3Z6F1K5,पूर्व तिमोरमध्ये सांतिना कार्डोसो कोणते पद धारण करतात?,पूर्व तिमोरचे अर्थमंत्री | पूर्व तिमोरचे अर्थमंत्री,01-03-2025,23-12-2025,
T2N8G8S4,नूर-सुलतान कोणत्या देशाची राजधानी आहे?,कझाकस्तान | कझाकस्तान प्रजासत्ताक,01-08-2025,23-12-2025,https://hi.wikipedia.org/wiki/नूर-सुल्तान
O1M0O5B8,इक्वाडोरमधील अर्थव्यवस्था आणि वित्त मंत्री कोण आहेत?,सारीहा मोय,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/Ministry_of_Economy_and_Finance_(Ecuador)
J5H2H4F7,पुढील वर्ल्ड बुक कॅपिटल म्हणून आत्तापर्यंत कोणत्या शहराचे नाव आहे?,रिओ दि जानेरो,01-03-2025,23-12-2025,https://www.ifla.org/news/congratulations-to-rabat-world-book-capital-2026/
J8B1H7P0,सीरियातील अवकाफ मंत्री कोण आहेत?,माझेन अल-सलहानी,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/Murhaf_Abu_Qasra
L3M2Y3D2,डिजिटल बोलिव्हरमध्ये सध्या सर्वात मोठे बिल कोणते आहे?,५०० | बी.एस. ५०० | 500 बोलिव्हर,01-03-2025,23-12-2025,
W3H7A2Q4,मॉरिशियन आघाडीत कोणत्या पक्षाचा 1 खासदार आहे?,लढाऊ प्लॅटफॉर्म,01-03-2025,23-12-2025,
I1F5C8C4,DRC आणि रवांडा यांच्यात कोणता मोठा राजनैतिक करार अस्तित्वात आहे?,काँगोचे लोकशाही प्रजासत्ताक-रवांडा शांतता करार | वॉशिंग्टन एकॉर्ड,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/2025_Democratic_Republic_of_the_Congo%E2%80%93Rwanda_peace_agreement
J4Y8L2O3,BWF जपान ओपनमध्ये किम वोन-हो आणि Seo Seung-jae कोणते विजेतेपद मिळवतात?,BWF जपान ओपनमध्ये पुरुष दुहेरी चॅम्पियन | पुरुष दुहेरी विजेते (BWF जपान ओपन),01-07-2025,23-12-2025,https://en.wikipedia.org/wiki/2025_Japan_Open
P5B5L9X3,ऑस्ट्रेलियाचे ऍटर्नी जनरल कोण आहेत?,मिशेल रोलँड,01-05-2025,23-12-2025,https://en.wikipedia.org/wiki/Attorney-General_of_Australia
Y5R7J2B7,सोफिया गॅलासोचा सर्वात अलीकडील चित्रपट कोणता आहे?,फ्रँकेन्स्टाईन,01-11-2025,23-12-2025,
Q3M1I6Q4,जेवियर माइलीचे शेवटचे चीफ ऑफ स्टाफ कोण होते?,गिलेर्मो फ्रँकोस,01-11-2025,23-12-2025,https://abcnews.go.com/International/wireStory/argentinas-chief-staff-resigns-heralding-change-president-milei-127080588|https://www.sfgate.com/news/world/article/argentina-s-chief-of-staff-resigns-heralding-21132124.php
O1K8H8Y2,भारताचे उपराष्ट्रपती कोण आहेत?,S. संगीताच्या स्केलची पाचवी नोंद. राधाकृष्णन,01-11-2025,23-12-2025,https://mr.wikipedia.org/wiki/भारताचे_उपराष्ट्रपती
I3Y8P9E1,समलैंगिकतेच्या गुन्हेगारीकरणाबाबत डॉमिनिकाची स्थिती काय आहे?,कायदेशीर,01-07-2025,23-12-2025,https://en.wikipedia.org/wiki/LGBT_rights_in_Dominica
B2O1L3Q7,एटीपी माद्रिद ओपनमध्ये कॅस्पर रुडने कोणते विजेतेपद पटकावले?,पुरूष एकेरी चॅम्पियन,01-05-2025,23-12-2025,https://www.atptour.com/en/news/draper-ruud-madrid-2025-final
U2U1J2X9,स्लोव्हेनियाच्या अंतर्गत मंत्र्यांची सद्यस्थिती काय आहे?,राजीनामा दिला | होय,01-10-2025,23-12-2025,
M9J8D1I7,जोनाथन डेव्हिड सध्या कोणत्या क्लबसाठी खेळतो?,जुव्हेंटस,01-07-2025,23-12-2025,https://en.wikipedia.org/wiki/Jonathan_David
K6B5B6D3,PDC वर्ल्ड डार्ट्स चॅम्पियनशिप कोणी जिंकली?,ल्यूक लिटलर,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/PDC_World_Darts_Championship
Q3G1N9U0,चलन बदलण्यासाठी सर्वात अलीकडील देश कोणता आहे?,बल्गेरिया,01-12-2025,23-12-2025,https://imf.org/-/media/Files/Publications/WEO/2024/October/English/statsappendix.ashx
G5A6V8E1,टोमोका मियाझाकी सध्या कोणते चॅम्पियनशिप आहे?,BWF तैपेई ओपनमध्ये महिला एकेरीमध्ये चॅम्पियन | BWF तैपेई ओपनमध्ये महिला एकेरी चॅम्पियन,01-05-2025,23-12-2025,https://en.wikipedia.org/wiki/Tomoka_Miyazaki
P3L0Q9Z9,नॉटिंगहॅम गायक जेरुबच्या सर्वात अलीकडील मिक्सटेपला काय म्हणतात?,द वंडर इयर्स,01-11-2025,23-12-2025,https://rockshotmagazine.com/jerub-unveils-soulful-new-mixtape-the-wonder-years-and-announces-biggest-headline-tour-to-date/
J3V4W8M6,रक्षा बाम कोणत्या संस्थेचे समन्वय साधतात?,नेपाळ GenZ फ्रंट | नेपाळ जनरल-झेड फ्रंट,01-09-2025,23-12-2025,
L6L7W3S1,सायमन हॅरिस सध्या आयर्लंडमध्ये कोणत्या पदावर आहे?,संरक्षण मंत्री,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/Simon_Harris
B2F7G2U8,क्रिस्टी मॅकनॅली कोणत्या पदावर आहे?,यूएस मिंटचे संचालक,01-07-2025,23-12-2025,https://www.penguinrandomhouse.com/authors/92226/lama-christie-mcnally/
C0S3Q0X9,एटीपी माद्रिद ओपनमधील पुरुष एकेरीतील चॅम्पियन कोण आहे?,कॅस्पर रुड,01-05-2025,23-12-2025,https://en.wikipedia.org/wiki/2025_Mutua_Madrid_Open_–_Men's_singles
R5O2O7R7,बांगुई घोषणा कधी झाली?,1 नोव्हेंबर 2024 | नोव्हें-24 | 01-11-2024 | 11/2024,01-03-2025,23-12-2025,https://www.peaceagreements.org/agreements/598/
S9N9F9A6,कोलंबियाचे ऊर्जा मंत्री कोण आहेत?,एडविन पाल्मा,01-03-2025,23-12-2025,https://www.bloomberg.com/news/articles/2025-10-17/colombia-seeks-to-cut-energy-bills-by-limiting-spot-market-sales
I2J8J5X0,न्यूझीलंडमध्ये दक्षिण बेटासाठी वर्तमान मंत्री आहे का?,होय,01-03-2025,23-12-2025,https://knowledgeauckland.org.nz/news/cabinet-appointments-new-ministers/
G3S0N6X8,कोणत्या देशात थेम्बी एनकादिमेंग यांना न्याय आणि घटनात्मक विकासातून काढून अलीकडेच मानवी वसाहतीमध्ये हलवण्यात आले?,दक्षिण आफ्रिका,01-03-2025,23-12-2025,https://www.bloomberg.com/news/articles/2024-12-03/south-african-president-switches-justice-minister-amid-probe
O3A2F1I7,EU मध्ये कार्यरत असलेल्या वित्तीय संस्थांना DORA ची लागूता काय आहे?,ते DORA च्या अधीन आहेत | होय,01-03-2025,23-12-2025,https://www.skadden.com/insights/publications/2024/07/the-eus-digital-operational-resilience-act
V3P6A3N3,फिलाडेल्फिया ईगल्स सध्या कोणते शीर्षक धारण करतात?,एनएफएल सुपर बाउल चॅम्पियन्स | सुपर बाउल चॅम्पियन्स,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/2025_Philadelphia_Eagles_season
V9J6F1D7,आशांती कोणाशी गुंतली आहे?,नेली,01-03-2025,23-12-2025,
V2C0S4V8,लिसांद्रो कॅटलानने यापूर्वी अर्जेंटिनामध्ये कोणते पद भूषवले होते?,अर्जेंटिनाचे गृहमंत्री,01-11-2025,23-12-2025,https://ground.news/article/milei-threw-out-posse-who-is-lisandro-catalan-the-man-who-stays-instead-of-francos
Z1O4K5W8,पूर्व तिमोरचे अर्थमंत्री कोण आहेत?,सॅन्टिना कार्डोसो,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/Ministry_of_Finance_(East_Timor)
U7D5N3K9,पार्टी मॉरिसियन सोशल डेमोक्रेटमधील कोणत्या व्यक्तीला आता नॅशनल असेंब्लीमध्ये जागा मिळाली आहे?,दुवल,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/Parti_Mauricien_Social_D%C3%A9mocrate
S4C1O2N6,जुनो मोहीम बृहस्पतिवर अजूनही सक्रिय आहे का?,नाही,01-09-2025,23-12-2025,https://en.wikipedia.org/wiki/Juno_(spacecraft)
N2D8W4V3,झिम्बाब्वेमध्ये एझरा चडझमीरा कोणते पद धारण करतात?,मासविंगोचे प्रांतीय व्यवहार राज्यमंत्री,01-04-2025,23-12-2025,https://www.zanupf.org.zw/news/minister-of-state-masvingo-for-provincial-affairs-and-devolutionhon-ezra-chadzamira-has-been-recognized-for-his-exceptional-work
U5M4M6T2,देवेंद्र फडणवीस कोणत्या पदावर आहेत?,महाराष्ट्राचे विद्यमान मुख्यमंत्री | महाराष्ट्राचे मुख्यमंत्री,01-03-2025,23-12-2025,https://www.aajtak.in/topic/devendra-fadnavis
J7S7K1F3,पुढील वर्ल्ड बुक कॅपिटल म्हणून कोणते शहर आत्तापर्यंत असेल?,राबत,01-03-2025,23-12-2025,https://www.unesco.org/en/world-book-capital
L3L2M0H3,आता नेपाळ GenZ फ्रंटचे समन्वय कोण करत आहे?,रक्षा बाम | रक्षा बाम,01-09-2025,23-12-2025,https://kathmandupost.com/national/2025/11/24/nepal-gen-z-front-demands-sacking-of-pm-s-chief-personal-secretary-over-nepotism
M1P9D3X7,आयर्लंडमध्ये सध्याचे संरक्षण मंत्री कोण आहेत?,सायमन हॅरिस,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/Minister_for_Defence_(Ireland)
Z8A7Y2A6,दक्षिण कोरियाचे 14 वे राष्ट्राध्यक्षपद कोणाकडे आहे?,ली जे म्युंग | ली जे-म्युंग,01-06-2025,23-12-2025,https://en.wikipedia.org/wiki/Yoon_Suk_Yeol
Y2V5Q6B2,ज्युलियस बेअर ग्रुपचे मुख्य कार्यकारी कोण आहेत?,स्टीफन बोलिंगर,01-03-2025,23-12-2025,https://www.juliusbaer.com/en/media-investors/corporate-governance/executive-board/
Z2E1S0N0,अहमद मोअल्लीम फिकी आता कोणत्या पदावर आहेत?,सोमालियाचे संरक्षण मंत्री | सोमालियाचे संरक्षण मंत्री,01-04-2025,23-12-2025,
O0H4D0K8,न्यूझीलंडमध्ये अपघात भरपाई निगम मंत्री आहे का?,होय,01-03-2025,23-12-2025,
E8P4C6B7,आता एड ह्यूसिक कोण आहे?,ऑस्ट्रेलियाचे पूर्वीचे उद्योग मंत्री | ऑस्ट्रेलियाचे माजी उद्योगमंत्री,01-05-2025,23-12-2025,https://en.wikipedia.org/wiki/Ed_Husic
A8G0M0P8,बर्नाडेट अराक्विये सध्या रवांडामध्ये कोणते पद धारण करतात?,पर्यावरण मंत्री | रवांडाचे पर्यावरण मंत्री,01-08-2025,23-12-2025,
Y8L4H8R5,"झिम्बाब्वेचे पर्यावरण, हवामान आणि वन्यजीव मंत्री कोण आहेत?",एव्हलिन एनडलोवू,01-04-2025,23-12-2025,"https://en.wikipedia.org/wiki/Ministry_of_Environment,_Water_and_Climate_(Zimbabwe)"
V9N9Q3N8,लिओ XIV कोण आहे?,पोप | पोप,01-05-2025,23-12-2025,https://en.wikipedia.org/wiki/Louis_XIV
W7I1Q7I0,शिमोन ब्राउन कोणत्या पदावर आहे?,न्यूझीलंडचे आरोग्य मंत्री,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/Simon_Brown_(boxer)
G2W1P1E2,बेली कोणाशी निगडीत आहे?,अशांती | आशांती,01-03-2025,23-12-2025,
O0F3E7K5,सी.पी. राधाकृष्णन यांच्याकडे कोणते पद आहे?,भारताचे उपराष्ट्रपती | भारताचे उपराष्ट्रपती,01-11-2025,23-12-2025,https://en.wikipedia.org/wiki/C._P._Radhakrishnan
P9E7W1I4,नामिबियामध्ये इंगे झामवानी-कामवी कोणत्या मंत्रालयाचे नेतृत्व करतात?,"कृषी, मत्स्यव्यवसाय, जल आणि जमीन सुधारणा मंत्री | कृषी, मत्स्यव्यवसाय, जल आणि जमीन सुधारणा",01-05-2025,23-12-2025,
I0Z9C3O2,कोलंबियामधील पर्यावरण आणि शाश्वत विकास मंत्री कोण आहेत?,लेना एस्ट्राडा,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/Susana_Muhamad
P6I9J5T9,कुर्दिस्तान वर्कर्स पार्टी (PKK) ची काय अवस्था आहे?,विरघळली,01-05-2025,23-12-2025,https://en.wikipedia.org/wiki/Kurdistan_Workers'_Party
L1Q9K8P4,नुकत्याच झालेल्या 10 पक्षांच्या विलीनीकरणाने कोणता पक्ष स्थापन झाला?,नेपाळी कम्युनिस्ट पार्टी | नेपाळी कम्युनिस्ट पार्टी (NCP),01-11-2025,23-12-2025,
Y1U3F9L6,DRC चे सध्याचे उपपंतप्रधान अर्थसंकल्पाचे प्रभारी कोण आहेत?,ॲडॉल्फ मुझिटो,01-08-2025,23-12-2025,https://english.news.cn/africa/20250808/488369a2f4934bbd85d5bddec6bff310/c.html
W5V7X8B9,यूएसएचे अध्यक्ष कोण आहेत?,ट्रम्प | डोनाल्ड ट्रम्प | डोनाल्ड जे. ट्रम्प,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/President_of_the_United_States
M4G7H1Z3,BWF तैपेई ओपनमध्ये महिला एकेरीतील चॅम्पियन कोण आहे?,मैत्री मियाझाकी,01-05-2025,23-12-2025,https://www.olympics.com/en/news/bwf-taipei-open-2025-loh-kean-yew-wins-riveting-men-s-singles-final-with-miyazaki-tomoka-taking-the-women-s-crown
B7S3E1C1,कोणत्या देशात दक्षिण बेटासाठी सध्याचे मंत्री आहेत?,न्यूझीलंड,01-03-2025,23-12-2025,
G3H0W0N4,व्हॅलेंटाईन उवामारियाने बर्नाडेट अराक्वियेच्या आधी कोणते पद धारण केले?,रवांडाचे पर्यावरण मंत्री | पर्यावरण मंत्री (रवांडा),01-08-2025,23-12-2025,
K7F6E5D4,यासिन फॉल यांना परराष्ट्र व्यवहारातून न्यायपदावर कधी हलविण्यात आले?,०७-०९-२०२५ | सप्टेंबर २०२५ | सप्टेंबर-2025,01-09-2025,23-12-2025,
T0V3V1H9,साबॅस्टिन लेकोर्नू कोणते पद धारण करतात?,फ्रान्सचे पंतप्रधान | पंतप्रधान,01-09-2025,23-12-2025,https://www.saamana.com/four-days-after-resignation-sebastien-lecornu-reappointed-as-french-prime-minister-by-president-emmanuel-macron/
Q7U2N2N4,Ulta Beauty चे CEO कोण आहेत?,केशिया स्टीलमन,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/Kecia_Steelman
S2R4Y5B5,कोणाला न्याय आणि घटनात्मक विकासातून काढून टाकण्यात आले आणि अलीकडेच दक्षिण आफ्रिकेतील मानवी वसाहतींमध्ये हलवण्यात आले?,थेंबी न्कादिमे,01-03-2025,23-12-2025,
L0O8N9E2,आयझॅक कारपेंटर कोणत्या बँडसाठी ड्रम करतो?,बंदुका आणि गुलाब | गन एन गुलाब,01-03-2025,23-12-2025,
K4L0J0L1,कोलंबियामध्ये आंद्रेस कॅमाचोने कोणते पद धारण केले?,कोलंबियाचे पूर्वीचे ऊर्जा मंत्री | कोलंबियाचे माजी ऊर्जा मंत्री,01-03-2025,23-12-2025,https://es.wikipedia.org/wiki/Andr%C3%A9s_Camacho_Morales
Y7X7X9S1,"सध्या, रवांडाचे स्थानिक सरकार मंत्री कोण आहेत?",डॉमिनिक हबिमाना,01-08-2025,23-12-2025,https://www.minaloc.gov.rw/about-1
S7S4Z7I4,ASEAN मध्ये सामील होणारा सर्वात अलीकडील देश कोणता आहे?,तिमोर-लेस्टे | पूर्व तिमोर,01-10-2025,23-12-2025,https://asean.org/forging-a-new-era-timor-leste-admitted-into-asean/
P9V5R8P3,न्यूयॉर्कच्या महापौरपदी कोणाची निवड झाली?,जोहरान मंदानी,01-11-2025,23-12-2025,https://en.wikipedia.org/wiki/2025_New_York_City_mayoral_election
